SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
OC1=CC=C(C=C1)C(=C)C(=O)/C=C/CNCC;2/000000013;InChI=1S/C14H17NO2/c1-3-15-10-4-5-14(17)11(2)12-6-8-13(16)9-7-12/h4-9,15-16H,2-3,10H2,1H3/b5-4+;C14H17NO2;231;2.20;3.06;-1.78;2.22;-40
OC1=CC=C(C=C1)C(=C)C(=O)C1=CNCS1;2/000000026;InChI=1S/C12H11NO2S/c1-8(9-2-4-10(14)5-3-9)12(15)11-6-13-7-16-11/h2-6,13-14H,1,7H2;C12H11NO2S;233;1.92;3.01;-0.41;2.22;0
OC1=CC=C(C=C1)C(=C)C(=O)C1C=CC=C(C=1Br)C(=O)NN;2/000000015;InChI=1S/C16H13BrN2O3/c1-9(10-5-7-11(20)8-6-10)15(21)12-3-2-4-13(14(12)17)16(22)19-18/h2-8,20H,1,18H2,(H,19,22);C16H13N2O3Br;361;2.81;3.96;-3.35;3.58;-51
OC1=CC=C(C=C1)C(=C)C(=O)C1C=CC=C(C=1Br)C(=O)NN;2/000000017;InChI=1S/C16H13BrN2O3/c1-9(10-5-7-11(20)8-6-10)15(21)12-3-2-4-13(14(12)17)16(22)19-18/h2-8,20H,1,18H2,(H,19,22);C16H13N2O3Br;361;2.81;3.96;-1.90;3.58;-20
OC1=CC=C(C=C1)C1=CC=C(C(=C1)O)F;2/000000050;InChI=1S/C12H9FO2/c13-11-6-3-9(7-12(11)15)8-1-4-10(14)5-2-8/h1-7,14-15H;C12H9O2F;204;3.31;3.18;-0.93;1.00;-160
OC1C=C(C(=O)C2=NN=C(S2)N)C(=CC=1O)Cl;2/000000008;InChI=1S/C9H6ClN3O3S/c10-4-2-6(15)5(14)1-3(4)7(16)8-12-13-9(11)17-8/h1-2,14-15H,(H2,11,13);C9H6N3O3SCl;271;1.82;3.06;-2.89;2.22;0
OC1=CC=C(C=C1)C1=CC=C(C(=C1)O)F;2/000000028;InChI=1S/C12H9FO2/c13-11-6-3-9(7-12(11)15)8-1-4-10(14)5-2-8/h1-7,14-15H;C12H9O2F;204;3.31;3.15;-0.66;1.00;-160
OC1C=C(C(=O)OC/C=C(\CC=C)/N)C(=CC=1O)Cl;2/000000044;InChI=1S/C13H14ClNO4/c1-2-3-8(15)4-5-19-13(18)9-6-11(16)12(17)7-10(9)14/h2,4,6-7,16-17H,1,3,5,15H2/b8-4+;C13H14NO4Cl;283;2.31;3.44;-3.15;3.85;-40
OC1=C(O)C=C(C(=C1)Cl)C(=O)O[C@@H](/C=C/N)C=C;2/000000049;InChI=1S/C12H12ClNO4/c1-2-7(3-4-14)18-12(17)8-5-10(15)11(16)6-9(8)13/h2-7,15-16H,1,14H2/b4-3+/t7-/m1/s1;C12H12NO4Cl;269;2.12;3.78;-1.80;3.85;-150
OC1C=C(C(=O)OC/C=C/N)C(=CC=1O)Cl;2/000000022;InChI=1S/C10H10ClNO4/c11-7-5-9(14)8(13)4-6(7)10(15)16-3-1-2-12/h1-2,4-5,13-14H,3,12H2/b2-1+;C10H10NO4Cl;243;1.63;3.47;-0.49;3.85;0
OC1C=C(C(=O)OC/C=C(\CC=C)/N)C(=CC=1O)Cl;2/000000045;InChI=1S/C13H14ClNO4/c1-2-3-8(15)4-5-19-13(18)9-6-11(16)12(17)7-10(9)14/h2,4,6-7,16-17H,1,3,5,15H2/b8-4+;C13H14NO4Cl;283;2.31;3.59;-2.48;3.85;-20
SC1=CNC2C1=CC=CC=2[C@@H](CN(=O)=O)Cl;2/000000057;InChI=1S/C10H9ClN2O2S/c11-8(5-13(14)15)6-2-1-3-7-9(16)4-12-10(6)7/h1-4,8,12,16H,5H2/t8-/m1/s1;C10H9N2O2SCl;256;2.78;3.22;-5.82;17.00;-190
